# M6 v11 canonical neutral chaoiton profile beta(r)
# ODE: beta'' + (2/r)beta' - (2/r^2)beta + lambda*beta + 4g*beta^3 = 0
"# g = 1.0, lambda = -0.26469686, m_J_raw = sqrt(-lambda) = 0.51448699"
"# eta = 0.42511430, H/Q_spherical = 2.11756090"
"# m_chi = 0.460004 MeV, m_J = 0.618427 MeV, C = 770.16 MeV*fm"
# natural length unit R_phys = hbar*c/m_e = 386.1593 fm
r_natural,r_fm,beta_natural,dbeta_dr_natural
2.46105389,950.3588,5.6522446649e-01,-3.1374111554e-01
2.46785348,952.9845,5.6308816953e-01,-3.1461248173e-01
2.47465308,955.6102,5.6094608283e-01,-3.1544414408e-01
2.48145267,958.2360,5.5879847500e-01,-3.1623650740e-01
2.48825226,960.8617,5.5664561187e-01,-3.1698998099e-01
2.49505186,963.4874,5.5448775648e-01,-3.1770497834e-01
2.50185145,966.1131,5.5232516904e-01,-3.1838191695e-01
2.50865104,968.7389,5.5015810689e-01,-3.1902121800e-01
2.51545064,971.3646,5.4798682449e-01,-3.1962330615e-01
2.52225023,973.9903,5.4581157345e-01,-3.2018860921e-01
2.52904982,976.6160,5.4363260242e-01,-3.2071755792e-01
2.53584941,979.2418,5.4145015714e-01,-3.2121058578e-01
2.54264901,981.8675,5.3926448036e-01,-3.2166812872e-01
2.54944860,984.4932,5.3707581186e-01,-3.2209062493e-01
2.55624819,987.1189,5.3488438845e-01,-3.2247851457e-01
2.56304779,989.7447,5.3269044397e-01,-3.2283223958e-01
2.56984738,992.3704,5.3049420921e-01,-3.2315224346e-01
2.57664697,994.9961,5.2829591194e-01,-3.2343897105e-01
2.58344657,997.6218,5.2609577689e-01,-3.2369286831e-01
2.59024616,1000.2476,5.2389402578e-01,-3.2391438213e-01
2.59704575,1002.8733,5.2169087732e-01,-3.2410396008e-01
2.60384535,1005.4990,5.1948654712e-01,-3.2426205028e-01
2.61064494,1008.1247,5.1728124775e-01,-3.2438910117e-01
2.61744453,1010.7505,5.1507518872e-01,-3.2448556131e-01
2.62424412,1013.3762,5.1286857654e-01,-3.2455187922e-01
2.63104372,1016.0019,5.1066161463e-01,-3.2458850319e-01
2.63784331,1018.6276,5.0845450340e-01,-3.2459588112e-01
2.64464290,1021.2534,5.0624744015e-01,-3.2457446031e-01
2.65144250,1023.8791,5.0404061919e-01,-3.2452468734e-01
2.65824209,1026.5048,5.0183423179e-01,-3.2444700788e-01
2.66504168,1029.1306,4.9962846621e-01,-3.2434186657e-01
2.67184128,1031.7563,4.9742350766e-01,-3.2420970683e-01
2.67864087,1034.3820,4.9521953835e-01,-3.2405097071e-01
2.68544046,1037.0077,4.9301673747e-01,-3.2386609878e-01
2.69224005,1039.6335,4.9081528125e-01,-3.2365553000e-01
2.69903965,1042.2592,4.8861534295e-01,-3.2341970153e-01
2.70583924,1044.8849,4.8641709284e-01,-3.2315904868e-01
2.71263883,1047.5106,4.8422069823e-01,-3.2287400469e-01
